APP ID,Date Announced,CIA_Name,Grant Type,Sub Type,Grant Title,Admin Institution,State,Sector,Start Yr,End Yr,Total,Broad Research Area,FOR Category,Field of Research,Res KW1,Res KW2,Res KW3,Res KW4,Res KW5,Plain Description,
1108520,19-Oct-15,Dr Amit Lampit,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Moving Behavioural Neuroscience & Neuroeconomics into Dementia Prevention: Spatial tracking and economic decision-making as new sensitive measures of daily function,University of Sydney,NSW,University,2016,2019,"$595,588",Clinical Medicine and Science,CLINICAL SCIENCES,Geriatrics and Gerontology,neurocognitive assessment,mild cognitive impairment,functional decline,geriatric assessment,early prevention,"This project will aim to develop new measures for clinical trials by learning the relationship between older people's movements around the house, ability to make decisions about their health and finance and their cognitive performance.   These instruments may aid future trials of drugs and other interventions for preventing dementia by indicating how basic behavioural patterns respond to interventions.",.
1108527,19-Oct-15,Dr Kate Smith,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Development and validation of the first culturally based quality of life tool for Aboriginal Australians living with dementia or cognitive impairment,University of Western Australia,WA,University,2016,2019,"$602,435",Clinical Medicine and Science,PUBLIC HEALTH AND HEALTH SERVICES,Aged Health Care,quality of life,dementia,cognitive impairment,assessment,indigenous Australians,"Enhancing quality of life (QoL) is the central goal of care providers for clients with dementia. A QoL tool identifies areas of need, enabling strategies to be planned and evaluated accordingly. Dementia is highly prevalent in Aboriginal Australians. There is no QoL tool for Aboriginal Australians living with dementia. This project will develop and test a QoL tool with Aboriginal Australians living with dementia or other cognitive impairment. The factors affecting QoL will also be identified.",.
1108542,19-Oct-15,Dr Manreena Kaur,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Can repetitive transcranial magnetic stimulation improve cognition and neuropsychiatric features in mild cognitive impairment and early stage Alzheimer’s disease?,University of Sydney,NSW,University,2016,2019,"$603,622",Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,Alzheimer disease,mild cognitive impairment,transcranial magnetic stimulation (TMS),neurophysiology,cognition,"This research will evaluate a novel treatment, repetitive transcranial magnetic stimulation, for cognitive decline and mood disturbance in those at risk for or at early stages of Alzheimer’s disease. By using a range of measures reflecting brain function, this research aims to identify features of patients that predict response to this treatment. Critically, this work will inform early intervention strategies and contribute to better treatment selection guidelines for Alzheimer’s disease.",.
1108882,19-Oct-15,Dr Surabhi Bhatia,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Role of Apolipoprotein D in Alzheimer's Disease and Frontotemporal Dementia,University of New South Wales,NSW,University,2016,2019,"$575,612",Basic Science,NEUROSCIENCES,Central Nervous System,Alzheimer disease,frontotemporal dementia,apolipoproteins,antioxidant,amyloid beta-protein,"ApoD is a highly conserved lipocalin known for its antioxidant nature and role in regulation of inflammation. Oxidative stress and neuroinflammation are known to play a critical role in dementia. This project will study the association of apoD to inflammatory and oxidative stress markers in Alzheimer’s disease and Frontotemporal Dementia, two major forms of dementia. It will also examine the impact of apoD on disease pathology. Hence this project will lead us to therapeutic potentials of apoD.",.
1109197,19-Oct-15,Dr Sandra Garrido,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Mood Regulation Using Music: A Community Health Strategy for Improving Quality of Life in People With Mild Dementia,University of Western Sydney,NSW,University,2016,2019,"$601,540",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Health Promotion,dementia,depressive symptoms,aged health,Alzheimer disease,depression,"This research aims to improve quality of life in people with dementia via community-based strategies for managing depression using music. The impetus comes from my prior research which shows that depression affects both the way people use music and its impact on the listener, a factor not considered in previous studies. Findings will lay the ground for development of an online tool for promoting effective self-regulation of mood with music for use by patients and caregivers in multiple settings.",.
1109482,19-Oct-15,Dr Christopher Moran,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Dementia in Type 2 Diabetes – studying causal mechanisms,Monash University,VIC,University,2016,2019,"$514,786",Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,dementia,diabetes mellitus,neurodegeneration,Alzheimer disease,ageing,"Type 2 diabetes mellitus (T2D) is an important risk factor for dementia, and knowledge regarding the biological pathways linking the two disorders can provide great insight into the causes of dementia overall. I plan to study the links between T2D and dementia using analytical modelling to tease out causal pathways. My overall vision is to establish a sound knowledge base upon which effective interventions can be devised to prevent or delay dementia, using T2D-related dementia as a model.",.
1109618,19-Oct-15,Dr Loren Mowszowski,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Cognitive interventions for older adults at-risk of dementia and with early-stage neurodegenerative disease,University of Sydney,NSW,University,2016,2019,"$544,348",Clinical Medicine and Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",dementia,mild cognitive impairment,secondary prevention,early intervention,translational research,"My postdoctoral research program focuses on secondary prevention for cognitive decline and early intervention for mild-stage dementia, by developing and evaluating cognitive interventions e.g. Cognitive Training, psychoeducation, adjunctive therapies and e-health. I am perfectly positioned for this research, with an established track record in aging, ideal research environment, excellent supervision/collaborative opportunities, and unique background of both research and clinical training.",.
1109945,19-Oct-15,Dr Kristian Kempe,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Novel targeted degradable multifunctional poly(vinyl-co-ester) nanoparticles for Alzheimer’s disease applications,Monash University,VIC,University,2016,2019,"$601,940",Basic Science,NANOTECHNOLOGY,Nanomedicine,drug delivery systems,polymerisation,therapeutic agents,targeting,blood-brain barrier,Novel biodegradable polymeric nanoparticles for efficient and targeted delivery of Alzheimer related agents to the brain will be developed. The nanocarriers will be fabricated from biocompatible multifunctional compounds and possess the capability to co-deliver diagnostic and therapeutic agents across the blood-brain barrier. These systems are expected to become a new efficient class of brain delivery systems.,.
1109959,19-Oct-15,Dr Xin Du,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Investigating the synergistic role of brain-derived neurotrophic factor (BDNF) and estradiol on parvalbumin-mediated cognitive function: relevance to dementia,University of Melbourne,VIC,University,2016,2019,"$589,644",Basic Science,NEUROSCIENCES,Neurosciences not elsewhere classified,dementia,neuroendocrinology,cognition,gender differences,neurobiology,"Estrogen-based therapy may improve cognitive functioning in dementia patients. However, more detailed knowledge is required to ensure safe and effective targeted treatment is provided. I propose to examine, in mouse models, the mechanistic functioning of estrogen signalling in key brain regions involved in cognition. Unravelling the way estrogen impart its beneficial effect can lead to the development of effective treatments for dementia and many other devastating neurological diseases.",.
1110040,19-Oct-15,Ms Samantha Barton,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,The Role of Oligodendrocytes in Frontotemporal Dementia,Monash University,VIC,University,2016,2019,"$625,292",Basic Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,frontotemporal dementia,oligodendrocytes,neurodegeneration,stem cell transplantation,stem cells,"Dementia affects 35.6 million people world-wide; this number is projected to double every 20 years. Frontotemporal dementia (FTD) is the second most common type and has been found to have similar cause and pathology to common neurodegenerative diseases such as amyotrophic lateral sclerosis (ALS). We ultimately require treatments to slow, stop and repair the damaged brain of FTD patients and this is only possible by understanding the mechanisms involved in the onset and progression of disease.",.
1110183,19-Oct-15,Dr Sharpley Hsieh,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Cognition in Motion: Characterization and Evolution of Cognitive Dysfunction in Motor Neurodegeneration and Frontotemporal Dementia,University of Sydney,NSW,University,2016,2019,"$604,106",Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,motor neuron disease (MND),frontotemporal dementia,neuropsychology,neuropsychiatry,emotion,"Motor neuron disease (MND) is a fatal disease. Cognition may be unaffected or may be severely impaired to warrant a dementia diagnosis. The cognitive status at onset, its progression and the presence of co-morbid dementia of most MND patients is unknown. This research program will develop and validate a cognitive screener that diagnosis co-morbid dementia in the context of motor neurodegeneration in MND.",.
1110215,19-Oct-15,Dr Elizabeth Evans,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Dementia in people with Intellectual Disability: A longitudinal study with focus on translatable outcomes.,University of New South Wales,NSW,University,2016,2019,"$468,151",Health Services Research,PSYCHOLOGY,Developmental Psychology and Ageing,dementia care,dementia,intellectual disability,workforce policy,health service utilisation,"People with an intellectual disability (ID) may be more prone to dementia, especially at younger ages. Dr. Evans is a psychologist whose research background is in mental health in ID. This fellowship will allow her to expand her existing study of dementia in people with ID, to examine the usefulness of selected screening tools and assessments for dementia in this group, and to identify improvements in the way that people with ID who develop dementia receive help within health system.",.
1110369,19-Oct-15,Dr Rachel Tan,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,"DUAL AND MULTIPLE PROTEINOPATHIES IN NEURODEGENERATIVE DEMENTIAS – RISK FACTORS, PROGNOSTIC INDICATORS AND CLINICAL RAMIFICATIONS",University of New South Wales,NSW,University,2016,2019,"$604,644",Basic Science,NEUROSCIENCES,Central Nervous System,dementia,Alzheimer disease,frontotemporal dementia,Lewy body,pathology,"Dementia is the umbrella term used to refer to a number of different clinical presentations,each associated with distinct histopathological signatures of protein aggregates and spread.However, converging evidence now suggests the common co-occurences of dual/multiple proteinopathies across dementia syndromes.The present study will identify the clinical ramifications and factors that are most predictive for such proteinopathies in a large cohort of longitudinally-studied patients with dementia.",.
1110400,19-Oct-15,Dr Timothy Couttas,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Myelin lipid breakdown affected by Apolipoprotein E genotype: implications for Alzheimer’s Disease pathogenesis,University of New South Wales,NSW,University,2016,2019,"$534,644",Basic Science,MEDICAL BIOCHEMISTRY AND METABOLOMICS,Medical Biochemistry: Lipids,Alzheimer disease,apolipoprotein E,mass spectrometry,sphingolipids,biochemistry,"This project pieces together two important questions about Alzheimer’s Disease: (1) Why a naturally occurring variant of a gene called “APOE“ is the primary genetic risk for Alzheimer’s. (2) Why Alzheimer’s preferentially affects brain regions that lose a fatty substance called myelin, the electrical insulation of the brain. In doing so, we will understand more about what makes people more susceptible to Alzheimer’s and whether therapies to restore myelin could be effective against Alzheimer’s.",.
1110414,19-Oct-15,A/Pr Simon Lewis,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Predicting Dementia and Parkinson’s in the Clinic,University of Sydney,NSW,University,2016,2019,"$625,573",Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,mild cognitive impairment,dementia,Parkinson disease,neurobiology,diagnostic methods,"This Fellowship will develop novel diagnostic techniques in those patients who are at risk of developing Dementia and Parkinson’s Disease. Participants will also be encouraged to enrol in a brain donation program allowing detailed information for future correlations between symptoms and brain changes. This work will lead to the creation of a diagnostic matrix (At Risk Index) that will provide clinicians and researchers with tools to inform better diagnosis, prognosis and therapy.",.
1110975,19-Oct-15,Dr Leonardo Gollo,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,From brain maps to mechanisms: Modelling the pathophysiology of dementia,Queensland Institute of Medical Research,QLD,Research,2016,2019,"$604,513",Basic Science,NEUROSCIENCES,Central Nervous System,dementia,Alzheimer disease,computer simulation,brain disease,brain ageing,"As the brain ages, the relationship between its structure and function also changes. In this study, I will use detailed computational modelling and extensive analyses of brain dynamics to improve interventional strategies by: 1. Characterising healthy and unhealthy brain dynamics during ageing; 2. Classifying the various subtypes of pathological dynamics; and 3. Predicting pathological neurodegeneration by identifying the earliest signs of perturbations in healthy ageing.",.
1111206,19-Oct-15,Dr Sam Buckberry,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,The role of the neuronal epigenome in natural brain ageing and the progression of Alzheimer’s disease,University of Western Australia,WA,University,2016,2019,"$584,644",Basic Science,GENETICS,Epigenetics (incl. Genome Methylation and Epigenomics),methylation,epigenetics,neurogenetics,neurodegenerative disorders,genomics,"Most cases of Alzheimer's disease are sporadic or late onset, with only ~5% of cases being familial, suggesting a potential role for epigenetics. This project aims to profile the human brain epigenome throughout normal ageing and in Alzheimer's disease so we can determine how disturbed epigenetic states may affect brain function. This research will provide new insights into the role of the epigenome in Alzheimer's disease, enabling crucial advances in understanding its origins.",.
1111552,19-Oct-15,Dr Emma Burrows,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,The missing link: mGluR5 as a therapeutic target for cognitive decline in dementia,University of Melbourne,VIC,University,2016,2019,"$563,622",Basic Science,NEUROSCIENCES,Central Nervous System,dementia-related decline in memory,Alzheimer disease,mouse models,memory impairment,pharmacology,"Cognitive decline is a core feature of Alzheimer’s Disease (AD), yet there is no cure or treatment. Recent evidence suggests that a protein called mGluR5 could cause brain cells to lose function, leading to memory loss. This project will investigate whether disrupting mGluR5 function can improve cognition in mice with genetic AD. Memory will be assessed in mice using innovative touchscreen tests that closely mimic the tests used in humans.",.
1111603,19-Oct-15,Dr Yen Ying Lim,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,Genetic mechanisms that moderate effects of Aß accumulation in preclinical Alzheimer's disease,University of Melbourne,VIC,University,2016,2019,"$603,525",Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,Alzheimer disease,amyloid,apolipoprotein E,biomarkers,cognition,"Alzheimer’s disease (AD) is the most common form of dementia, and the number of people living with it will triple by 2050. There is currently no cure for AD, and the only means of slow the growing epidemic is to delay onset. We propose to understand the complex interplay between genetic, cognitive, neuroimaging and biological markers of AD in order to better understand the disease process, and in turn identify high-risk individuals for clinical trials and uncover disease-modifying strategies.",.
1111611,19-Oct-15,Dr Bingyang Shi,Targeted Calls for People,NHMRC-ARC Dementia Research Development Fellowship,New Nanoparticle Strategies for Efficient Delivery and Controlled Release into the Brain,Macquarie University,NSW,University,2016,2019,"$571,633",Basic Science,NEUROSCIENCES,Cellular Nervous System,dementia,neurobiology,drug delivery systems,nanotechnology,biomaterials,"A key challenge for treating neurodegenerative diseases is delivery of drugs across the blood–brain barrier (BBB). This project will develop advanced BBB “nanoshuttles” based upon systematic investigation of BBB penetration mechanisms and near-infrared drug controlled release strategy. These delivery systems may facilitate diagnosis of brain diseases and on-demand release of drug cargos to diseased cells in the brain, offering the potential of a brand new localised therapy for brain diseases.",.
1104636,09-Nov-15,A/Pr Sarah McNaughton,Career Development Fellowships,Population Health CDF,Building evidence to improve health through optimal diet,Deakin University,VIC,University,2016,2019,"$463,652",Public Health,NUTRITION AND DIETICS,Nutrition and Dietetics not elsewhere classified,nutrition,dietary intake,health behaviours,food,epidemiology,"This research will focus on dietary patterns in population health across the life-course. We know little about how dietary patterns and their determinants vary across life and the impact of life-stage transitions on diet and health. This research will provide unique insights into dietary patterns of infants, children, young adults and older adults.",.
1104772,09-Nov-15,Dr Sally Rosengren,Career Development Fellowships,RD Wright Biomedical CDF,A balancing act: A three-pronged approach to vestibular assessment,Sydney Local Health Network,NSW,Hospital,2016,2019,"$419,180",Basic Science,NEUROSCIENCES,Sensory Systems,vestibular function,vestibular disease,reflexes,balance impairment,neurophysiology,"Vertigo and imbalance are common and disabling symptoms of vestibular (balance) dysfunction. This project will investigate three aspects of vestibular function: by searching for new balance reflexes, revealing the pattern of vestibular deficits in patients with a common form of vertigo caused by migraine, and exploring the impact of vestibular disease on thinking and memory. This research will improve our understanding of the vestibular system and facilitate the diagnosis of episodic vertigo.",.
1104795,09-Nov-15,Dr Roxanne Bainbridge,Career Development Fellowships,Aboriginal and Torres Strait Islander CDF,"Developing an evidence-based intervention and tools to assess and predict risk, protective and promotive factors of psychosocial resilience for Aboriginal and Torres Strait Islander adolescents: A mixed methods program of research",James Cook University,QLD,University,2016,2019,"$419,180",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,indigenous health,Aboriginal mental health,adolescent health,resilience,psychosocial factors,"Developed with Indigenous students and service providers, the research will maximise opportunities for Indigenous adolescents to engage in productive lives and meaningful futures by supporting their healthy psychosocial functioning. It will produce an evidence-based intervention and tools to assess and predict risk, protective and promotive factors of psychosocial resilience for students who face cumulative stressors in their transitions from remote communities to boarding schools.",.
1104801,09-Nov-15,Dr Misty Jenkins,Career Development Fellowships,RD Wright Biomedical CDF,Investigating the mechanism and consequences of cytotoxic lymphocyte detachment,University of Melbourne,VIC,University,2016,2019,"$419,180",Basic Science,IMMUNOLOGY,Cellular Immunology,cell biology,lymphocytes,cytotoxicity,cancer biology,inflammation,Killer cells are white blood cells that destroy cancerous cells. To move to their next target they must quickly detach from a dying target. Failure of detachment results in excessive inflammation and tumour escape.  This project will discover the detachment signals required to ‘release’ a locked-on killer cell.  This will lead to a deeper understanding of immune pathology and new ways of treating cancer.,.
1105028,09-Nov-15,Dr Patrick Hughes,Career Development Fellowships,RD Wright Biomedical CDF,Neuroimmune interactions in functional and organic gastrointestinal diseases,University of Adelaide,SA,University,2016,2019,"$419,180",Basic Science,CLINICAL SCIENCES,Gastroenterology and Hepatology,irritable bowel syndrome (IBS),inflammatory bowel disease (IBD),immunology,sensory nerves,pain,"Irritable Bowel Syndrome (IBS) and Inflammatory Bowel Disease (IBD) are chronic, incurable diseases of the lower gastrointestinal tract with unknown causes and poor treatment options. Both the immune and nervous systems are altered in GI disease, but have traditionally been studied in isolation. My research investigates how the neuro-immune axis is altered in these diseases, using animal models and human tissue samples to identify novel treatment options for these debilitating diseases.",.
1105040,09-Nov-15,Dr Siobhan Schabrun,Career Development Fellowships,RD Wright Biomedical CDF,"An integrated, multi-system approach to understanding persistent pain",University of Western Sydney,NSW,University,2016,2019,"$419,180",Clinical Medicine and Science,CLINICAL SCIENCES,Physiotherapy,pain mechanisms,musculoskeletal disorders,cortical reorganisation,physiotherapy,chronic back pain,"Musculoskeletal pain is a major health problem in Australia, with an economic burden second only to cancer. Despite the scale of the problem, there are few effective treatments. This project examines a range of biological mechanisms that could explain why some people get better over time while others experiencing pain do not. The findings of this research will contribute to the development of new treatments that can be targeted to each individual to improve pain and disability.",.
1105106,09-Nov-15,Dr Kim Delbaere,Career Development Fellowships,Industry CDF,Using technology towards effective self-management of fall risk in older adults,University of New South Wales,NSW,University,2016,2019,"$463,652",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aged Health Care,falls prevention,health care delivery,healthy ageing,exercise,cognitive function,"Our society’s population is ageing rapidly. Accidental falls are a major contributor to the burden of disease in older people and a major public health problem. In my research program, I use technology to find feasible solutions to deliver complex tailored interventions to prevent falls and support healthy ageing through self-management. My approach has potential to have major, lasting public health benefits by reducing falls and advancing healthy ageing at a low cost for the health care sector.",.
1105128,09-Nov-15,A/Pr David Whiley,Career Development Fellowships,Population Health CDF,"Gonorrhoea: detection, antimicrobial resistance and treatment.",University of Queensland,QLD,University,2016,2019,"$463,652",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,sexually-transmitted infections (STI),gonorrhoea,indigenous health,antibiotic resistance,molecular microbiology,"Rates of gonorrhoea are extremely high in Indigenous populations of Australia, and the gonorrhoea bug has now developed resistance to almost all antibiotics that have been used to treat it. In this study, we will investigate a new means of diagnosing the infection, as well as better ways to detect gonorrhoea drug resistance. By doing so, we will ensure that gonorrhoea infections are better managed, particularly in our Indigenous populations.",.
1105181,09-Nov-15,Dr Connie Wong,Career Development Fellowships,RD Wright Biomedical CDF,Novel strategies to improve stroke outcome,Monash University,VIC,University,2016,2019,"$419,180",Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,stroke outcome,host/pathogen interaction,bacterial infection,targeted therapy,sympathetic nervous system,"Infection is highly prevalent and is one of the leading causes of death in stroke. It is now recognised that stroke impairs the immune system, raising the possibility that reversing this impairment can decrease the rate of infection after stroke. Therefore, the focus of this project is to identify the signalling pathways that underlie abnormal immune function after stroke and also assess the potential of a novel pharmacological approach for reducing bacterial infection in stroke patients.",.
1105271,09-Nov-15,Dr Joshua Ho,Career Development Fellowships,RD Wright Biomedical CDF,Discovering the genetic causes of congenital heart disease using systems biology,Victor Chang Cardiac Research Institute,NSW,Research,2016,2019,"$419,180",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Bioinformatics,bioinformatics,epigenetics,genomics,systems biology,clinical genetics,"Congenital heart disease (CHD) affects one in one hundred live-born babies, representing a significant health burden in Australia and worldwide. My research team is using state-of-the-art DNA sequencing technology to sequence the entire genome of hundreds of patients with CHD and their family members. My research program develops fast and reliable computer software to accelerate the discovery of the genetic causes of CHD, and make personalised genome-based medicine a reality.",.
1105280,09-Nov-15,Dr Carl Walkley,Career Development Fellowships,RD Wright Biomedical CDF,Applying preclinical models to improve outcomes in cancer,St Vincent's Institute of Medical Research,VIC,Research,2016,2019,"$463,652",Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,osteosarcoma,myelodysplasia,leukaemia,mouse models,cancer genetics,My goal is to improve the treatment and outcomes for patients with myelodysplastic syndrome and osteosarcoma through the application of preclinical models to identify and test new treatments. I will develop and use these models to identify new targets for therapeutic intervention and provide evidence that the identified treatments work. I have utilised the increasing understanding of the human cancers to improve the mouse models I develop to most closely mirror human cancer.,.
1105383,09-Nov-15,Dr Lisa Kaminskas,Career Development Fellowships,RD Wright Biomedical CDF,Improving cancer survival by optimising drug exposure at sites of cancer metastasis,Monash University,VIC,University,2016,2019,"$463,652",Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Pharmaceutical Sciences,drug delivery systems,pharmacokinetics,cancer chemotherapeutic agents,cancer metastasis,nanotechnology,"The metastatic spread of cancer is responsible for 90% of cancer related deaths. While the standard of care is to administer high doses of toxic drugs to kill the cancer, this often leads to life threatening side effects without guarantee of a cure. This work is aimed at identifying how nanometer sized chemotherapeutic ‘nanomedicines’ can be optimally developed to enhance drug targeting towards sites of tumour growth and metastasis and maximise therapeutic success whilst limiting side effects.",.
1105420,09-Nov-15,A/Pr Trent Woodruff,Career Development Fellowships,RD Wright Biomedical CDF,Therapeutic targeting of neuroinflammation to slow the progression of neurodegenerative disease,University of Queensland,QLD,University,2016,2019,"$463,652",Basic Science,NEUROSCIENCES,Central Nervous System,neuroinflammation,complement activation,therapeutic target,motor neuron disease (MND),Parkinson disease,"My research has identified key components of our immune system, that can worsen disease in conditions such as Parkinson’s disease and motor neuron disease. I hope that exploring these components in animal models, and patients suffering from these diseases, my group can identify new therapeutic drug candidates that can be progressed in clinical trials. Ultimately, this may lead to new treatments to reduce disease burden in patients suffering from these neurodegenerative conditions.",.
1105447,09-Nov-15,A/Pr Clara Chow,Career Development Fellowships,Clinical CDF,Clinical approaches to preventing cardiovascular disease,University of Sydney,NSW,University,2016,2019,"$463,652",Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),cardiovascular disease prevention,prevention,cardiovascular risk,epidemiology,public health,"Cardiovascular disease (CVD) is the leading cause of death and disease burden globally. While many new treatments have been discovered in the last few decades to prevent CVD, surveys show many people do not receive these treatments. Dr. Chow is committed to using her skills as a cardiologist and a researcher to bridge this gap. Her program aims to identify novel, simple and scalable approaches to decrease the gap in preventative care and reduce the burden of CVD in Australia and beyond.",.
1105754,09-Nov-15,Dr James Murphy,Career Development Fellowships,RD Wright Biomedical CDF,"The emergence of ""dead"" enzymes as signal transducers and therapeutic targets",Walter and Eliza Hall Institute,VIC,Research,2016,2019,"$463,652",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Signal Transduction,protein kinases,signal transduction,cell death,necrosis,structural biology,"The cells within our bodies are constantly being replenished by new cells. Removal of old cells is typically fast and without fanfare. However, in some cases, cell death can be used to evoke an inflammatory response. My work examines the molecular details of how this happens and how we might advance our knowledge to develop novel drugs to prevent inflammatory diseases, such as Crohn's disease and psoriasis.",.
1105760,09-Nov-15,Dr Lara Herrero,Career Development Fellowships,RD Wright Biomedical CDF,The role of glycans in arboviral disease; from immunomodulation to glycotherapeutic treatment strategies,Griffith University,QLD,University,2016,2019,"$419,180",Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,arbovirus,mosquito-borne disease,viral glycoproteins,therapeutics,virus pathogenesis,Dengue and chikungunya viruses are leading causes of emerging mosquito-transmitted (arboviral) disease worldwide. Currently there are no available vaccines or therapeutics making combatting these arboviral diseases one of our most pressing global health challenges. Preliminary evidence shows that glycan recognition is critical for disease immunopathogenesis. This project focuses on the role of viral glycans in arboviral disease with the aim of identifying and expanding on new therapeutic targets,.
1106004,09-Nov-15,Dr Laura Mackay,Career Development Fellowships,RD Wright Biomedical CDF,Molecular Regulation of Tissue-Resident Memory T cell Differentiation,University of Melbourne,VIC,University,2016,2019,"$419,180",Basic Science,IMMUNOLOGY,Cellular Immunology,T cell memory,T cells,viral immunity,Herpes simplex virus (HSV),cellular immunology,"A recently identified subset of T cells that reside at points of pathogen entry are critical to combat viral infection. However, little is known about how these T cell populations are formed. This project will characterise the pathways required to generate these cells and will identify novel factors that regulate their development. A greater understanding of how these T cells can be generated will open the way to utilise these cells in new vaccine strategies.",.
1106531,09-Nov-15,Dr Marie-Liesse Asselin-Labat,Career Development Fellowships,RD Wright Biomedical CDF,Regulation of lung stem cells in development and disease,Walter and Eliza Hall Institute,VIC,Research,2016,2019,"$463,652",Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),lung development,epigenetics,lung disease,stem cell biology,respiratory epithelium,"Breathing air at birth depends on the generation of normal lung structures. Using multiple approaches, we aim to identify factors that control embryonic lung development and adult lung remodeling by stem cells. This will define the molecular events that are critical in normal lung formation that may be altered in lung disorders such as respiratory distress syndrome of prematurity, and will have a significant impact on the future management of lung diseases.",.
1106716,09-Nov-15,A/Pr Allison Tong,Career Development Fellowships,Population Health CDF,Identifying patient-centred outcomes for people with chronic kidney disease and translating them into policy and practice,University of Sydney,NSW,University,2016,2019,"$463,652",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,patient outcomes,qualitative research,qualitative study,dialysis,kidney failure,"This 4 year fellowship project engages with patients, caregivers, clinicians, researchers and policy makers, to establish core outcomes and outcome measures in dialysis and transplantation. This will ensure that patient-centred outcomes are consistently measured and reported in dialysis and transplantation trials and other forms of research.",.
1107107,09-Nov-15,Dr Yuming Guo,Career Development Fellowships,Population Health CDF,Advancing the assessment of environmental impacts on human health,University of Queensland,QLD,University,2016,2019,"$419,180",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Environmental and Occupational Health and Safety,environmental health,environmental epidemiology,environmental pollutants,environmental risk factors,epidemiology,"Key questions and methodology challenges remain in the assessment of environmental impacts on human health. Through the Career Development Fellowship, I will lead a multidisciplinary program of research to further my research aspirations of developing advanced methods in the field of environmental health. The findings will provide epidemiological evidence that would be the basis of policies and guidelines for effective prevention of adverse health impacts from environmental factors.",.
1107177,09-Nov-15,Dr Cindy Thamrin,Career Development Fellowships,RD Wright Biomedical CDF,Telemonitoring of lung function variability in asthma and chronic obstructive pulmonary disease,University of Sydney,NSW,University,2016,2019,"$419,180",Clinical Medicine and Science,MEDICAL PHYSIOLOGY,Medical Physiology not elsewhere classified,respiratory physiology,asthma,chronic obstructive pulmonary disease (COPD),biomedical engineering,monitoring,"In Australia, asthma is highly prevalent, while chronic obstructive pulmonary disease is the fourth leading cause of male deaths; both are a significant burden on the health system. There are currently no objective ways to assess disease status or future risk of deterioration. I aim to use home telemonitoring technology and novel, sophisticated analysis methods to describe the variability of disease over time and potentially change the way we manage chronic lung diseases.",.
